Timestamp	Type	Process	Thread	Subsystem	Category	Message	
01:29.655.365	Debug	syncdefaultsd (156)	_dispatch_workloop_worker_thread  0x2722	com.apple.cloudkit	Engine	<private> calling Swift changeHandler	
01:29.655.387	Debug	syncdefaultsd (156)	_dispatch_workloop_worker_thread  0x24e3	com.apple.cloudkit	Engine	<private> calling Swift changeHandler	
01:29.655.523	Default	syncdefaultsd (156)	_dispatch_workloop_worker_thread  0x2653	com.apple.xpc	connection	[0xc083bd900] invalidated because the current process cancelled the connection by calling xpc_connection_cancel()	
01:29.655.584	Default	syncdefaultsd (156)	start_wqthread  0x2188	com.apple.xpc	connection	[0xc083bcc80] invalidated because the current process cancelled the connection by calling xpc_connection_cancel()	
01:29.655.613	Debug	syncdefaultsd (156)	_dispatch_workloop_worker_thread  0x274c	com.apple.defaults	User Defaults	found no value for key com.apple.kvs.disable-synccom.apple.freeform in CFPrefsSearchListSource<0xc080b0000> (Domain: com.apple.syncdefaultsd, Container: (null))	
01:29.655.794	Info	syncdefaultsd (156)	_dispatch_workloop_worker_thread  0x2653	com.apple.cloudkit	CK	Client submitting CKEventMetric 85975F86-D173-4230-8E8A-5D5D9CE2D026.	
01:29.655.801	Debug	syncdefaultsd (156)	_dispatch_workloop_worker_thread  0x24e3	com.apple.cloudkit	Engine	<private> coalescing state update event	
01:29.655.827	Debug	syncdefaultsd (156)	_dispatch_workloop_worker_thread  0x274c	com.apple.kvs	Connection	Checking cloud sync status for store <(com.apple.freeform)> Status is enabled.	
01:29.656.555	Debug	akd (212)	_dispatch_workloop_worker_thread  0x24f7	com.apple.authkit	traffic	Evaluating traffic request for invocation: <private>	
01:29.657.104	Debug	akd (212)	_dispatch_workloop_worker_thread  0x20e6	com.apple.authkit	traffic	Executing signing request: <private>; qos: 17	
01:29.657.418	Debug	cloudd (152)	_dispatch_workloop_worker_thread  0x265d	com.apple.cloudkit	CK	Current persona identifier is <private>. Filtering to effective personaID 	
01:29.657.490	Debug	cloudd (152)	_dispatch_workloop_worker_thread  0x265d	com.apple.cloudkit	CK	Forwarding -<private> to container: <private>	
01:29.662.531	Info	cloudd (152)	_dispatch_workloop_worker_thread  0x265d	com.apple.cloudkit	CK	Daemon submitting CKEventMetric <private>.	
01:29.662.782	Debug	cloudd (152)	_dispatch_workloop_worker_thread  0x265d	com.apple.defaults	User Defaults	found no value for key BehaviorOptions in CFPrefsSearchListSource<0x100eec8b0> (Domain: com.apple.CloudKit, Container: (null))	
01:29.663.490	Default	cloudd (152)	_dispatch_workloop_worker_thread  0x265d	com.apple.cloudkit	OP	Initialized with container 0x4febecf00. Background: 1, cellular: 1, expensive: 1, QOS: 0x9	
01:29.663.518	Debug	akd (212)	_dispatch_workloop_worker_thread  0x20e6	com.apple.defaults	User Defaults	looked up value <private> for key AKLastIDMSEnvironment in CFPrefsPlistSource<0x6a8484600> (Domain: kCFPreferencesAnyApplication, User: kCFPreferencesCurrentUser, ByHost: No, Container: (null), Contents Need Refresh: No) via CFPrefsSearchListSource<0x6a8484300> (Domain: com.apple.akd, Container: (null))	
01:29.664.374	Default	akd (212)	_dispatch_workloop_worker_thread  0x20e6	com.apple.xpc	connection	[0x6a8741600] activating connection: mach=1 listener=0 peer=0 name=com.apple.adid	
01:29.666.016	Debug	backboardd (68)	start_wqthread  0x214e	com.apple.CoreBrightness.CBDisplayModuleiOS.1	default	SyncDBV Telemetry | Transaction.ID=1,803 Latency=31.4531ms	
01:29.668.701	Debug	DTServiceHub (385)	_dispatch_workloop_worker_thread  0x178f	DVTInstrumentsFoundation	Default	Data Size: 102,400, Rows Sent: 1,300, Stack depth: 3,294	
01:29.670.502	Debug	News (425)	start_wqthread  0x26ad	com.apple.network		nw_protocol_http_connect_input_available [C79.1.1.1.1:3] Read frame has 39 bytes (0x301d6de90)	
01:29.670.576	Info	News (425)	start_wqthread  0x26ad	com.apple.network		nw_http_connect_process_response [C79.1.1.1.1:3] http connect proxy connected	
01:29.670.600	Debug	News (425)	start_wqthread  0x26ad	com.apple.CFNetwork	Default	Applying proxy auth: response=, proxyURL=, request=, credentials=, handle=0x12046ee80	
01:29.670.619	Default	News (425)	start_wqthread  0x26ad	com.apple.network	connection	nw_flow_connected [C79.1.1.1.1 ::1.49386 in_progress socket-flow (satisfied (Path is satisfied), viable, interface: lo0)] Transport protocol connected (socket)	
01:29.670.660	Debug	News (425)	start_wqthread  0x26ad	com.apple.network	connection	nw_endpoint_resolver_receive_report [C79.1.1.1 localhost:49386 in_progress resolver (satisfied (Path is satisfied), interface: lo0)] received child report: [C79.1.1.1.1 ::1.49386 in_progress socket-flow (satisfied (Path is satisfied), viable, interface: lo0)] 	
01:29.670.669	Debug	News (425)	start_wqthread  0x26ad	com.apple.network	connection	nw_endpoint_proxy_receive_report [C79.1.1 Hostname#9e6004d5:443 in_progress proxy (satisfied (Path is satisfied), interface: utun5, ipv4, dns, proxy, uses wifi)] received child report: [C79.1.1.1.1 ::1.49386 in_progress socket-flow (satisfied (Path is satisfied), viable, interface: lo0)] 	
01:29.670.787	Info	News (425)	start_wqthread  0x26ad	com.apple.network	connection	nw_endpoint_proxy_receive_report [C79.1.1 Hostname#9e6004d5:443 in_progress proxy (satisfied (Path is satisfied), interface: utun5, ipv4, dns, proxy, uses wifi)] transport finished	
01:29.671.124	Debug	News (425)	start_wqthread  0x26ad	com.apple.network	connection	nw_endpoint_transform_receive_report [C79.1 Hostname#9e6004d5:443 in_progress transform (satisfied (Path is satisfied), interface: utun5, ipv4, dns, proxy, uses wifi)] received child report: [C79.1.1.1.1 ::1.49386 in_progress socket-flow (satisfied (Path is satisfied), viable, interface: lo0)] 	
01:29.672.046	Debug	News (425)	start_wqthread  0x26ad	com.apple.network	connection	nw_endpoint_flow_receive_report [C79 Hostname#9e6004d5:443 in_progress parent-flow (satisfied (Path is satisfied), interface: utun5, ipv4, dns, proxy, uses wifi)] received child report: [C79.1.1.1.1 ::1.49386 in_progress socket-flow (satisfied (Path is satisfied), viable, interface: lo0)] 	
01:29.672.556	Default	News (425)	start_wqthread  0x26ad	com.apple.network	connection	[C79.1.1.1.1 ::1.49386 in_progress socket-flow (satisfied (Path is satisfied), viable, interface: lo0)] event: flow:finish_transport @0.50s	
01:29.672.711	Info	News (425)	start_wqthread  0x26ad	com.apple.network	connection	nw_endpoint_resolver_receive_report [C79.1.1.1 localhost:49386 in_progress resolver (satisfied (Path is satisfied), interface: lo0)] pushing out endpoint race by 2,000ms	
01:29.672.818	Debug	akd (212)	_dispatch_workloop_worker_thread  0x24f7	com.apple.authkit	traffic	AuthKit/VMBAA feature is on.	
01:29.672.932	Info	News (425)	start_wqthread  0x26ad	com.apple.network	boringssl	boringssl_context_set_ats_enforced(652) [C79.1.1.1.1:2][0x116a46e00] set false	
01:29.672.948	Info	News (425)	start_wqthread  0x26ad	com.apple.network	boringssl	boringssl_context_set_ats_minimum_rsa_key_size(661) [C79.1.1.1.1:2][0x116a46e00] set 0	
01:29.672.956	Info	News (425)	start_wqthread  0x26ad	com.apple.network	boringssl	boringssl_context_set_ats_minimum_ecdsa_key_size(670) [C79.1.1.1.1:2][0x116a46e00] set 0	
01:29.672.970	Info	News (425)	start_wqthread  0x26ad	com.apple.network	boringssl	boringssl_context_set_ats_minimum_signature_algorithm(680) [C79.1.1.1.1:2][0x116a46e00] set 0	
01:29.673.021	Debug	News (425)	start_wqthread  0x26ad	com.apple.network	boringssl	boringssl_session_apply_protocol_options_for_transport_block_invoke(1,787) [C79.1.1.1.1:2][0x116a46e00] ECH is disabled	
01:29.673.601	Default	News (425)	start_wqthread  0x26ad	com.apple.network	boringssl	boringssl_session_apply_protocol_options_for_transport_block_invoke(2,042) [C79.1.1.1.1:2][0x116a46e00] TLS configured [min_version(0x301) max_version(0x304) name(drmproxy.digitalsvc.apps.nbcuni.com) tickets(0) false_start(0) enforce_ev(0) enforce_ats(0) ech(0)]	
01:29.673.624	Info	News (425)	start_wqthread  0x26ad	com.apple.network	boringssl	boringssl_session_install_association_state(1,421) [C79.1.1.1.1:2][0x116a46e00] Client session cache miss	
01:29.673.753	Default	News (425)	start_wqthread  0x26ad	com.apple.network	boringssl	boringssl_context_info_handler(2,231) [C79.1.1.1.1:2][0x116a46e00] Client handshake started	
01:29.673.797	Debug	News (425)	start_wqthread  0x26ad	com.apple.network	boringssl	boringssl_context_log_message(2,304) [C79.1.1.1.1:2][0x116a46e00] Writing SSL3_RT_HANDSHAKE 512 bytes	
01:29.674.593	Default	News (425)	start_wqthread  0x26ad	com.apple.network	boringssl	boringssl_context_info_handler(2,248) [C79.1.1.1.1:2][0x116a46e00] Client handshake state: TLS client enter_early_data	
01:29.674.604	Debug	News (425)	start_wqthread  0x26ad	com.apple.network	boringssl	nw_protocol_boringssl_write_bytes(88) [C79.1.1.1.1:2][0x116a46e00] write request: 517	
01:29.674.635	Debug	News (425)	start_wqthread  0x26ad	com.apple.network	boringssl	nw_protocol_boringssl_write_bytes(159) [C79.1.1.1.1:2][0x116a46e00] total bytes written: 517	
01:29.674.669	Default	News (425)	start_wqthread  0x26ad	com.apple.network	boringssl	boringssl_context_info_handler(2,248) [C79.1.1.1.1:2][0x116a46e00] Client handshake state: TLS client read_server_hello	
01:29.674.676	Debug	News (425)	start_wqthread  0x26ad	com.apple.network	boringssl	nw_protocol_boringssl_read_bytes(238) [C79.1.1.1.1:2][0x116a46e00] read request: 5 byte(s)	
01:29.674.683	Debug	News (425)	start_wqthread  0x26ad	com.apple.network	boringssl	nw_protocol_boringssl_read_bytes(253) [C79.1.1.1.1:2][0x116a46e00] no input frames available	
01:29.674.689	Info	News (425)	start_wqthread  0x26ad	com.apple.network	boringssl	boringssl_session_handshake_incomplete(254) [C79.1.1.1.1:2][0x116a46e00] Handshake incomplete: waiting for data to read [2]	
01:29.675.240	Debug	News (425)	start_wqthread  0x26ad	com.apple.network	boringssl	nw_protocol_boringssl_read_bytes(238) [C79.1.1.1.1:2][0x116a46e00] read request: 5 byte(s)	
01:29.675.249	Debug	News (425)	start_wqthread  0x26ad	com.apple.network	boringssl	nw_protocol_boringssl_read_bytes(253) [C79.1.1.1.1:2][0x116a46e00] no input frames available	
01:29.675.889	Debug	akd (212)	_dispatch_workloop_worker_thread  0x24f7	com.apple.authkit	traffic	Not a virtual machine. No BAA V1 headers.	
01:29.676.043	Default	adid (289)	Main Thread  0x1220	com.apple.xpc	connection	[0x7580b4000] activating connection: mach=0 listener=0 peer=1 name=com.apple.adid.peer[212].0x7580b4000	
01:29.676.585	Default	akd (212)	_dispatch_workloop_worker_thread  0x20e6	com.apple.xpc	connection	[0x6a8741600] invalidated after the last release of the connection object	
01:29.676.624	Debug	akd (212)	_dispatch_workloop_worker_thread  0x20e6	com.apple.authkit	traffic	Looking for Anisette data...	
01:29.676.912	Debug	akd (212)	_dispatch_workloop_worker_thread  0x20e6	com.apple.authkit	traffic	Anisette Info: mid - <private> otp - <private> euid - 501 localUserUUID 	
01:29.677.388	Info	News (425)	start_wqthread  0x26ad	com.apple.network	boringssl	boringssl_session_handshake_incomplete(254) [C79.1.1.1.1:2][0x116a46e00] Handshake incomplete: waiting for data to read [2]	
01:29.680.239	Debug	akd (212)	_dispatch_workloop_worker_thread  0x24f7	com.apple.defaults	User Defaults	looked up value <private> for key AKLastIDMSEnvironment in CFPrefsPlistSource<0x6a8484600> (Domain: kCFPreferencesAnyApplication, User: kCFPreferencesCurrentUser, ByHost: No, Container: (null), Contents Need Refresh: No) via CFPrefsSearchListSource<0x6a8484300> (Domain: com.apple.akd, Container: (null))	
01:29.680.402	Debug	akd (212)	_dispatch_workloop_worker_thread  0x20e6	com.apple.defaults	User Defaults	found no value for key AKAddTestApplicationHeader in CFPrefsSearchListSource<0x6a8484300> (Domain: com.apple.akd, Container: (null))	
01:29.680.551	Debug	akd (212)	_dispatch_workloop_worker_thread  0x20e6	com.apple.authkit	traffic	Executed signing request: <private>; qos: 17	
01:29.680.850	Default	akd (212)	_dispatch_workloop_worker_thread  0x20e6	com.apple.authkit	signpost	END [160] 0.0336s:SignAndAttestation 	
01:29.681.648	Default	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.nsurlsessiond	background	Task <82BA2D57-20F2-4504-880F-DEB271E453BC>.<1> client acknowledged completion	
01:29.681.711	Default	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.nsurlsessiond	background	NDSession <DC46B48F-C719-47CB-8356-653241C60ADF> has 0 outstanding tasks	
01:29.681.791	Debug	cloudd (152)	_pthread_tsd_cleanup  0x2691	com.apple.authkit	traffic	Remote Anisette service returned Attestation data.	
01:29.681.905	Debug	cloudd (152)	_pthread_tsd_cleanup  0x2691	com.apple.defaults	User Defaults	found no value for key AKOverrideAttestationLoggingKey in CFPrefsSearchListSource<0x4fe067c00> (Domain: com.apple.cloudd, Container: (null))	
01:29.682.063	Default	cloudd (152)	_pthread_tsd_cleanup  0x2691	com.apple.authkit	signpost	END [1,159] 0.0726s:FetchAttestation 	
01:29.682.102	Default	audiomxd (104)	caulk::concurrent::details::worker_thread::run  0x96a	com.apple.coreaudio	AMCP	258,823 HALS_IOEngine2.cpp:2,567 		HALS_IOEngine2::_StartIO(49) succeeded on Context 278  new state: Prewarm: 0 Play: 1 State: Running	
01:29.682.547	Debug	cloudd (152)	_pthread_tsd_cleanup  0x2691	com.apple.authkit	traffic	Passing along decorated request for URL: <private> Task BackgroundDataTask <D0FA110F-BEFD-4776-9AD3-24AF21553E5C>.<1>.	
01:29.684.819	Debug	DTServiceHub (385)	start_wqthread  0x18cb	DVTInstrumentsFoundation	Default	Data Size: 100,770, Rows Sent: 1,176, Stack depth: 3,759	
01:29.686.487	Debug	backboardd (68)	_dispatch_workloop_worker_thread  0x2148	com.apple.BackBoard	MotionEvents	Motion event usagePage:0xff0c usage:1 	
01:29.686.504	Default	backboardd (68)	start_wqthread  0x214e	com.apple.CoreBrightness.CBGrimaldiModule	default	Requesting lux from APDS	
01:29.686.557	Debug	locationd (74)	_pthread_start  0xa91	com.apple.locationd.Motion	Motion	visitKFFilteredPressure,nowAP,753,085,939.4364,nowAOP,134,701,993,filteredPressure,101,486.0938,pressureTimestamp,131,980,637,kfElevation,-13.4498,wallTimePressureCorrected,753,085,936.7277,wallTimeKFCorrected,753,085,939.4151,temperatureDerivative,0.0000,absAltUnc,-0.0000	
01:29.686.922	Debug	locationd (74)	_dispatch_workloop_worker_thread  0xc64	com.apple.locationd.Motion	Altimeter	received KF filtered pressure from AOP,now,<private>,filteredPressureTimestamp,<private>,filteredPressure,<private>,kfTimestamp,<private>,kfElevation,<private>,kfPressure,<private> temperature,<private>,absAltUnc,<private>	
01:29.686.966	Debug	locationd (74)	_dispatch_workloop_worker_thread  0xc64	com.apple.locationd.Motion	Altimeter	{"msg":"kfPressure source updated with", "timestamp_s":"<private>", "kfPressure":"<private>", "kfElevation":"<private>", "absAltUncertainty":"<private>"}	
01:29.687.046	Debug	locationd (74)	_dispatch_workloop_worker_thread  0xc64	com.apple.locationd.Core	Notifier	{"msg":"CLSubHarvesterTraceExternal::onPressure", "event":activity, "this":"27,223,462,808"}	
01:29.687.829	Default	backboardd (68)	start_wqthread  0x214e	com.apple.xpc	connection	[0xc2cc16d00] activating connection: mach=1 listener=0 peer=0 name=com.apple.appleh16camerad	
01:29.688.843	Default	Unknown (0)	_dispatch_workloop_worker_thread  0x14b1	AppleH16PhotonDetector	Default	AppleH16PhotonDetectorUserClient:init - New UserClient for process: appleh16camerad (pid 137)
	
01:29.688.928	Default	appleh16camerad (137)	_dispatch_workloop_worker_thread  0x14b1	com.apple.isp	daemon	addClient_block_invoke - Photon Detector device open returned 0

	
01:29.688.973	Default	Unknown (0)	_dispatch_workloop_worker_thread  0x14b1	AppleCS42L79Audio	Default	enableFlickerBias inEnable:1	
01:29.688.976	Default	Unknown (0)	_dispatch_workloop_worker_thread  0x14b1	AppleCS42L79Audio	Default	Set External MClk client:8  mask:20	
01:29.690.046	Default	Unknown (0)	_dispatch_workloop_worker_thread  0x14b1	AppleCS42L79Audio	Default	Write Adr:30000 Val:2	
01:29.690.053	Default	Unknown (0)	_dispatch_workloop_worker_thread  0x14b1	AppleCS42L79Audio	Default	MClk Enable:1 client:8 mask:28	
01:29.690.153	Default	cloudd (152)	_pthread_tsd_cleanup  0x2691	com.apple.CFNetwork	Default	Task <D0FA110F-BEFD-4776-9AD3-24AF21553E5C>.<1> authenticator finished cont 1 req <private> headers <private>	
01:29.690.198	Default	Unknown (0)	_dispatch_workloop_worker_thread  0x14b1	AppleCS42L79Audio	Default	Read  Adr:10010 Val:ff	
01:29.690.336	Default	Unknown (0)	_dispatch_workloop_worker_thread  0x14b1	AppleCS42L79Audio	Default	Write Adr:10010 Val:2ff	
01:29.690.671	Default	cloudd (152)	_pthread_tsd_cleanup  0x2691	com.apple.CFNetwork	Default	BackgroundSession <485329E0-958C-4EEC-87E9-74DA5C46AD3B> BackgroundDataTask <D0FA110F-BEFD-4776-9AD3-24AF21553E5C>.<1> finished getting auth headers for session <private> with identifier <private>	
01:29.691.275	Default	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.nsurlsessiond	background	NDSession <485329E0-958C-4EEC-87E9-74DA5C46AD3B> Task <D0FA110F-BEFD-4776-9AD3-24AF21553E5C>.<1> received auth headers for response, continueLoad: 1 authHeaders <private> newRequest 	
01:29.691.417	Default	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.CFNetwork	Default	Task <D0FA110F-BEFD-4776-9AD3-24AF21553E5C>.<1> authenticator finished cont 1 req <private> headers <private>	
01:29.691.461	Default	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.CFNetwork	Default	Task <D0FA110F-BEFD-4776-9AD3-24AF21553E5C>.<1> protocol received continueLoad=1, headers=<private> req=	
01:29.691.473	Default	Unknown (0)	_dispatch_workloop_worker_thread  0x14b1	AppleCS42L79Audio	Default	FlickerBiasRequest Enable=1 ret:0	
01:29.691.661	Debug	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.CFNetwork	ATS	Task <D0FA110F-BEFD-4776-9AD3-24AF21553E5C>.<1> {strength 0, tls 4, sub 0, sig 1, ciphers 0, bundle 1, builtin 0}	
01:29.691.961	Debug	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.CFNetwork	Default	Connection 22: set is idle 0	
01:29.692.084	Default	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.network	connection	[C22] event: client:connection_reused @1.77s	
01:29.692.213	Info	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.network	connection	nw_endpoint_handler_report_connection_idle [C22 IPv4#a8c80374:443 ready parent-flow (satisfied (Path is satisfied), interface: utun5, ipv4, dns, proxy, uses wifi)] Reporting connection not idle to protocols	
01:29.692.273	Info	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.network	connection	nw_flow_passthrough_notify [C22.1.1.1 IPv4#a8c80374:443 ready channel-flow (satisfied (Path is satisfied), viable, interface: utun5, ipv4, dns, proxy, uses wifi)] received notification connection_idle	
01:29.692.424	Default	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.CFNetwork	Default	Connection 22: working for activity <private>	
01:29.692.675	Default	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.CFNetwork	Default	Connection 22: working for activity <private>	
01:29.693.362	Default	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.CFNetwork	Default	Task <D0FA110F-BEFD-4776-9AD3-24AF21553E5C>.<1> now using Connection 22	
01:29.693.397	Debug	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.network	activity	Not checking if we should log for lightweight activity <nw_activity 0:0 [DA1BCF39-947E-4AD4-9196-C02DAB3FDF65] (lightweight) (reporting strategy default)>	
01:29.693.427	Debug	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.network	activity	Not checking if we should log for lightweight activity <nw_activity 0:0 [DA1BCF39-947E-4AD4-9196-C02DAB3FDF65] (lightweight) (reporting strategy default)>	
01:29.693.442	Default	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.network	activity	[C22] event: client:start_activity @1.78s, activity <nw_activity 0:0 [DA1BCF39-947E-4AD4-9196-C02DAB3FDF65] (lightweight) (reporting strategy default)>	
01:29.693.476	Debug	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.network		nw_connection_add_activity_on_nw_queue Activity <nw_activity 0:0 [DA1BCF39-947E-4AD4-9196-C02DAB3FDF65] (lightweight) (reporting strategy default)> is already present, not adding to connection array	
01:29.693.542	Debug	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.network		nw_data_transfer_add_initial_snapshot report 0xb7493b2c0 adding initial snapshot for interface <private>[]	
01:29.693.559	Debug	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.network		nw_data_transfer_report_get_path_report_for_interface_locked did not find path report for interface <private>, creating	
01:29.693.592	Debug	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.network		nw_data_transfer_report_allocate_additional_path_reports_if_necessary_locked report 0xb7493b2c0 path_count 1, allocated_path_count 0	
01:29.694.226	Debug	DTServiceHub (385)	_dispatch_workloop_worker_thread  0x178f	DVTInstrumentsFoundation	Default	Data Size: 101,386, Rows Sent: 1,343, Stack depth: 3,934	
01:29.697.031	Default	nsurlsessiond (171)	_dispatch_workloop_worker_thread  0x1ea9	com.apple.CFNetwork	Default	Task <D0FA110F-BEFD-4776-9AD3-24AF21553E5C>.<1> sent request, body 83 1,028	
01:29.697.903	Debug	audiomxd (104)	caulk::concurrent::details::worker_thread::run  0x96a	com.apple.coreaudio	AMCP	258,823 HALS_IOContext_Legacy_Impl.cpp:1,937 Completed HALS_IOContext_Legacy_Impl::IOWorkLoopInit - 0	
01:29.699.829	Error	Unknown (0)	_dispatch_workloop_worker_thread  0x186f	Sandbox	Default	1318 duplicate reports for Sandbox: com.apple.WebKit.Networking(434) deny(1) mach-lookup com.apple.diagnosticd	
01:29.699.838	Error	Unknown (0)	_dispatch_workloop_worker_thread  0x186f	Sandbox	Default	Sandbox: com.apple.WebKit.GPU(431) deny(1) mach-lookup com.apple.diagnosticd	
01:29.699.858	Error	Unknown (0)	_dispatch_workloop_worker_thread  0x186f	Sandbox	Default	Sandbox: com.apple.WebKit.Networking(434) deny(1) mach-lookup com.apple.diagnosticd	
01:29.699.880	Error	Unknown (0)	_dispatch_workloop_worker_thread  0x186f	Sandbox	Default	Sandbox: com.apple.WebKit.GPU(431) deny(1) mach-lookup com.apple.diagnosticd	
01:29.699.894	Error	Unknown (0)	_dispatch_workloop_worker_thread  0x186f	Sandbox	Default	Sandbox: com.apple.WebKit.Networking(434) deny(1) mach-lookup com.apple.diagnosticd	
01:29.699.907	Error	Unknown (0)	_dispatch_workloop_worker_thread  0x186f	Sandbox	Default	Sandbox: com.apple.WebKit.GPU(431) deny(1) mach-lookup com.apple.diagnosticd	
01:29.699.920	Error	Unknown (0)	_dispatch_workloop_worker_thread  0x186f	Sandbox	Default	Sandbox: com.apple.WebKit.Networking(434) deny(1) mach-lookup com.apple.diagnosticd	
01:29.699.936	Error	Unknown (0)	_dispatch_workloop_worker_thread  0x186f	Sandbox	Default	Sandbox: com.apple.WebKit.GPU(431) deny(1) mach-lookup com.apple.diagnosticd	
01:29.700.082	Error	Unknown (0)	_dispatch_workloop_worker_thread  0x186f	Sandbox	Default	1 duplicate report for Sandbox: com.apple.WebKit.GPU(431) deny(1) mach-lookup com.apple.diagnosticd	
01:29.700.083	Error	Unknown (0)	_dispatch_workloop_worker_thread  0x186f	Sandbox	Default	Sandbox: com.apple.WebKit.Networking(434) deny(1) mach-lookup com.apple.diagnosticd	
01:29.700.113	Error	Unknown (0)	_dispatch_workloop_worker_thread  0x186f	Sandbox	Default	1 duplicate report for Sandbox: com.apple.WebKit.Networking(434) deny(1) mach-lookup com.apple.diagnosticd	
01:29.700.114	Error	Unknown (0)	_dispatch_workloop_worker_thread  0x186f	Sandbox	Default	Sandbox: com.apple.WebKit.GPU(431) deny(1) mach-lookup com.apple.diagnosticd	
01:29.700.126	Error	Unknown (0)	_dispatch_workloop_worker_thread  0x186f	Sandbox	Default	Sandbox: com.apple.WebKit.Networking(434) deny(1) mach-lookup com.apple.diagnosticd	
